TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
0124-5376,,2539-200X,Biota Colombiana,2021,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Biologías,Ciencias Biológicas,Ciencias Naturales,INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,Centros o institutos de investigación,Público
,,2145-308X,Panorama,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO,Universidades,Privado
2027-5137,,2322-777X,Historia Y Memoria,2021,B,Boyacá,Tunja,No registra,Historia y Arqueología,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-0739,,2256-201X,Colombia Forestal,2021,B,"Bogotá, D. C.","Bogotá, D.C.",Forestal,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2012,A2,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
0034-7418,1909-6356,,Revista Colombiana De Ciencias Químico Farmacéuticas,2005,C,"Bogotá, D. C.","Bogotá, D.C.",Farmacología y Farmacia,Medicina Básica,Ciencias Médicas y de la Salud,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-8123,,,Revista Colombiana De Reumatología,2008,A2,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE REUMATOLOGIA,Entidades sin ánimo de lucro,Privado
0120-4688,,,Praxis Filosófica,2005,C,Valle del Cauca,Cali,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DEL VALLE,Universidades,Público
0123-3432,2145-566X,,Íkala,2013,A2,Antioquia,Medellín,Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
,1657-9534,,Colombia Médica,2008,A1,Valle del Cauca,Cali,Medicina General e Interna,Medicina Clínica,Ciencias Médicas y de la Salud,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-5307,2216-0280,,Investigación Y Educación En Enfermería,2008,A2,Antioquia,Medellín,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0122-9354,,,Revista De Medicina Veterinaria,2007,C,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,UNIVERSIDAD DE LA SALLE,Universidades,Privado
0120-8748,,,Acta Neurológica Colombiana,2008,C,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE NEUROCIRUGIA,Entidades sin ánimo de lucro,Privado
0120-386X,2256-3334,,Revista Facultad Nacional De Salud Publica,2004,C,Antioquia,Medellín,Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0124-4108,2248-454x,,Perspectivas En Nutrición Humana,2008,B,Antioquia,Medellín,Nutrición y Dietas,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0123-4676,,,Fronteras De La Historia,2008,B,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA ICANH,Nacional,Público
0124-7492,,,Ingenium,2007,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
0121-4381,,,Suma Psicológica,2005,C,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSITARIA KONRAD LORENZ,Universidades,Privado
0072-0992,,,Geología Colombiana,2004,C,"Bogotá, D. C.","Bogotá, D.C.",Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0123-417X,,,Psicología Desde El Caribe,2008,C,Atlántico,Barranquilla,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0123-1154,,,Revista Ibero- Latinoamericana De Seguros,2010,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-5323,,,Universitas Philosophica,2013,A2,"Bogotá, D. C.","Bogotá, D.C.",Filosofía,Otras Humanidades,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0124-5996,,,Revista De Economía Institucional,2006,A2,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
0120-0135,2256-2273,,Revista De Ciencias Agricolas,2012,C,Nariño,Pasto,Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD DE NARINO,Universidades,Público
0120-0062,2011-3668,,Ideas Y Valores,2006,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-750X,,,Ingeniería,2004,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
0120-5609,2248-8723,,Ingeniería E Investigación,2012,A1,"Bogotá, D. C.","Bogotá, D.C.",Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-8697,,,Revista De Derecho,2008,B,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
0120-9957,,,Revista Colombiana De Gastroenterología,2007,A2,"Bogotá, D. C.","Bogotá, D.C.",Gastroenterología y Hepatología,Medicina Clínica,Ciencias Médicas y de la Salud,SOCIEDAD COLOMBIANA DE GASTROENTEROLOGIA,No disponible,No disponible
1794-1237,,,Revista Eia,2009,B,Antioquia,Envigado,Ingeniería Civil,Ingeniería Civil,Ingeniería y Tecnología,UNIVERSIDAD EIA,Universidades,Privado
0034-7450,,,Revista Colombiana De Psiquiatría,2006,B,"Bogotá, D. C.","Bogotá, D.C.",Otros Temas de Medicina Clínica,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE PSIQUIATRIA,Entidades sin ánimo de lucro,Privado
0120-0283,,,Boletín De Geología,2016,A2,Santander,Bucaramanga,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Universidades,Público
0122-8285,,,Palabra Clave,2008,C,Cundinamarca,Chía,Periodismo,Periodismo y Comunicaciones,Ciencias Sociales,UNIVERSIDAD DE LA SABANA,Universidades,Privado
1692-8156,2011-1703,,International Law : Revista Colombiana De Derecho Internacional,2007,B,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0120-4165,,,Controversia,2005,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,FUNDACION CENTRO DE INVESTIGACION Y EDUCACION POPULAR C I N E P,Centros o institutos de investigación,Privado
1657-2831,,,Revista Colombiana De Computación,2004,C,Santander,Bucaramanga,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,Universidades,Privado
0120-3630,,,Boletín De Ciencias De La Tierra,2016,A2,Antioquia,Medellín,Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
1692-7273,2145-4507,,Revista Ciencias De La Salud,2012,A2,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0120-4823,2027-2731,,Signo Y Pensamiento,2008,B,"Bogotá, D. C.","Bogotá, D.C.",Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0121-2923,,,Palmas,2006,C,No disponible,No disponible,No registra,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,FEDERACION NACIONAL DE CULTIVADORES DE PALMA DE ACEITE FEDEPALMA,Entidades sin ánimo de lucro,Público
0123-9155,,,Acta Colombiana De Psicología,2009,A1,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD CATOLICA DE COLOMBIA,Universidades,Privado
0123-921X,,,Tecnura,2014,A2,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
1692-5106,,,Revista Ustasalud Odontología,2010,C,Santander,Bucaramanga,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
0123-3475,1909-8758,,Revista Colombiana De Biotecnología,2006,C,"Bogotá, D. C.","Bogotá, D.C.",Biotecnología Agrícola y de Alimentos,Biotecnología Agrícola,Ciencias Agrícolas,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0562-5351,,,Suelos Ecuatoriales,2007,C,Cauca,Popayán,Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE LA CIENCIA DEL SUELO,Entidades sin ánimo de lucro,Privado
1657-463X,,,Cultura Científica,2012,C,Boyacá,Tunja,No registra,Otras Ciencias Naturales,Ciencias Naturales,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,Universidades,Privado
0122-8102,2346-1691,,Cuadernos De Literatura,2008,C,No disponible,No disponible,Teoría Literaria,Idiomas y Literatura,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0123-7799,,,Tecno Lógicas,2011,B,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,Universidades,Público
1692-3375,,,Umbral Científico,2008,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Naturales,Ciencias Naturales,UNIVERSIDAD MANUELA BELTRAN,Universidades,Privado
0123-9155,,,Acta Colombiana De Psicología,2005,B,"Bogotá, D. C.","Bogotá, D.C.","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,UNIVERSIDAD CATOLICA DE COLOMBIA,Universidades,Privado
1900-8260,,,Revista De Educación En Ingeniería,2010,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,ASOCIACION COLOMBIANA DE FACULTADES DE INGENIERIA ACOFI,Entidades sin ánimo de lucro,Privado
0121-5612,1900-6004,,Colombia Internacional,2012,A2,"Bogotá, D. C.","Bogotá, D.C.",Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0121-1617,,,Historia Crítica,2011,A1,"Bogotá, D. C.","Bogotá, D.C.",Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0120-0976,,,Revista Interamericana De Bibliotecología,2012,A2,Antioquia,Medellín,No registra,Otras Humanidades,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
1657-0111,,,Palobra Palabra Que Obra,2012,C,Bolívar,Cartagena de Indias,"Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)",Sociología,Ciencias Sociales,UNIVERSIDAD DE CARTAGENA,Universidades,Público
0121-4993,,,Revista De Ingeniería,2013,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0123-4072,,,Lumina,2010,C,Caldas,Manizales,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
2011-0731,,,Academia Y Virtualidad,2014,C,"Bogotá, D. C.","Bogotá, D.C.","Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD MILITAR NUEVA GRANADA,Universidades,Público
0123-3769,,,Perspectiva Geográfica,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Humanidades,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0121-7488,2462-7658,,Ciencia En Desarrollo,2012,B,Boyacá,Tunja,Química Física,Ciencias Químicas,Ciencias Naturales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-338X,,,Forma Y Función,2010,A2,"Bogotá, D. C.","Bogotá, D.C.",Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
2011-3188,,,Dearquitectura,2009,C,"Bogotá, D. C.","Bogotá, D.C.",Arquitectura y Urbanismo,Arte,Humanidades,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
0120-7180,,,Cooperativismo & Desarrollo,2009,C,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA,Organizaciones no gubernamentales,Privado
1794-6298,,,Vox Populi- Revista De La Escuela De Finanzas Y Estudios Internacionales De La Fundación Universitaria San Martín (Sede Bogotá),2012,C,No disponible,No disponible,Economía,Economía y Negocios,Ciencias Sociales,FUNDACION UNIVERSITARIA SAN MARTIN,Universidades,Privado
1657-2513,2463 -225,,Revista Areté,2011,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,CORPORACION UNIVERSITARIA AMERICANA,Universidades,Privado
2011-3757,,,Calle14,2010,C,"Bogotá, D. C.","Bogotá, D.C.",Artes plásticas y visuales,Arte,Humanidades,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
1657-9763,,,Apuntes,2009,C,"Bogotá, D. C.","Bogotá, D.C.",Arquitectura y Urbanismo,Arte,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0124-406X,2382-4921,,Rastros Rostros,2010,C,Santander,Bucaramanga,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA,Organizaciones no gubernamentales,Privado
0123-9465,,,Ambiente Jurídico,2011,C,Caldas,Manizales,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD DE MANIZALES UMANIZALES,Universidades,Privado
2011-0413,,,Revista Investigaciones Aplicadas,2012,C,No disponible,No disponible,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Universidades,Privado
0120-8454,2145-9169,,Análisis,2012,C,"Bogotá, D. C.","Bogotá, D.C.",Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1900-3080,,,Revista Nacional De Odontología,2010,C,Antioquia,Envigado,No registra,Medicina Clínica,Ciencias Médicas y de la Salud,CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA,Organizaciones no gubernamentales,Privado
1794-7928,,,Spei Domus,2010,C,Santander,Bucaramanga,Ciencias Veterinarias,Ciencias Veterinarias,Ciencias Agrícolas,CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA,Organizaciones no gubernamentales,Privado
,0123-8884,,Affectio Societatis,2013,C,Antioquia,Medellín,No registra,Psicología,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0124-0021,,,Diálogos De Saberes,2010,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0121-7607,,,Ambiente Y Desarrollo,2012,C,"Bogotá, D. C.","Bogotá, D.C.",Ecología,Ciencias Biológicas,Ciencias Naturales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
,2011-7477,,Eidos,2012,A2,Atlántico,Barranquilla,Filosofía,Otras Humanidades,Humanidades,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
2011-2173,,,Revista Colombiana De Ciencias Hortícolas,2012,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Agrícolas,Otras Ciencias Agrícolas,Ciencias Agrícolas,SOCIEDAD COLOMBIANA DE CIENCIAS HORTICOLAS,Entidades sin ánimo de lucro,Privado
,2145-5333,,Ciencia Y Salud Virtual,2011,C,Bolívar,Cartagena de Indias,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,CORPORACION UNIVERSITARIA RAFAEL NUNEZ,Universidades,Privado
0124-0102,2390-0202,,Advocatus,2011,B,Atlántico,Barranquilla,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
2027-5137,2322-777X,,Historia Y Memoria,2014,A2,Boyacá,Tunja,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
1900-6586,,,"Revista Científica ""General José María Córdova""",2014,B,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Sociales,Otras Ciencias Sociales,Ciencias Sociales,ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA,Universidades,Público
1794-7154,,,"Saber, Ciencia Y Libertad",2012,C,Bolívar,Cartagena de Indias,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
2027-923X,,,Elementos,2014,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO,Universidades,Privado
0122-6339,2248-6798,,Enunciación,2011,C,"Bogotá, D. C.","Bogotá, D.C.",Estudios Generales del Lenguaje,Idiomas y Literatura,Humanidades,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
,2027-5846,,Ingenierias Usbmed,2013,C,Antioquia,Medellín,Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA CALI,Universidades,Privado
1657-6357,,,Sociedad Y Economía,2015,A2,Valle del Cauca,Cali,No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
2027-1034,,,Bio-Grafia,2013,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD PEDAGOGICA NACIONAL,Universidades,Público
1909-4841,,,Tumbaga,2012,C,Tolima,Ibagué,No registra,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD DEL TOLIMA,Universidades,Público
0123-3432,2145-566X,,Íkala,2016,A2,Antioquia,Medellín,Lingüística,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0121-5167,2462-8433,,Estudios Políticos,2018,B,Antioquia,Medellín,Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0124-5996,,,Revista De Economía Institucional,2018,B,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
1794-9165,2256-4314,,Ingeniería Y Ciencia,2018,B,Antioquia,Medellín,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD EAFIT,Universidades,Privado
0120-548X,1900-1649,,Acta Biológica Colombiana,2018,B,"Bogotá, D. C.","Bogotá, D.C.","Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento",Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0121-7550,,,Nomadas,2018,B,"Bogotá, D. C.","Bogotá, D.C.",Sociología,Sociología,Ciencias Sociales,UNIVERSIDAD CENTRAL,Universidades,Privado
2011-7531,,,Salud Uninorte,2018,C,Atlántico,Barranquilla,Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,FUNDACION UNIVERSIDAD DEL NORTE,Universidades,Privado
1657-6357,,2389-9050,Sociedad Y Economía,2022,C,Valle del Cauca,Cali,"Ciencias Sociales, Interdisciplinaria",Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD DEL VALLE,Universidades,Público
0120-3053,,2256-5779,Apuntes Del Cenes,2022,C,Boyacá,Tunja,No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Universidades,Público
0120-4823,2027-2731,,Signo Y Pensamiento,2019,B,"Bogotá, D. C.","Bogotá, D.C.",Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
1657-7027,,,Revista Gerencia Y Políticas De Salud,2020,C,"Bogotá, D. C.","Bogotá, D.C.",Salud Pública,Ciencias de la Salud,Ciencias Médicas y de la Salud,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0122-8102,2346-1691,,Cuadernos De Literatura,2017,C,No disponible,No disponible,Teoría Literaria,Idiomas y Literatura,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0124-4035,,,Desafíos,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias Políticas,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
0122-8803,2322-6889,,Historia Caribe,2015,A2,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,UNIVERSIDAD DEL ATLANTICO,Universidades,Público
0121-3628,,2256-358X,Estudios De Filosofía,2022,C,Antioquia,Medellín,Filosofía,Otras Humanidades,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
1657-4923,,2389-7872,Jangwa Pana,2021,C,Magdalena,Santa Marta,Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD DEL MAGDALENA,Universidades,Público
2011-4532,,,Eleuthera,2017,C,Caldas,Manizales,No registra,Sociología,Ciencias Sociales,UNIVERSIDAD DE CALDAS,Universidades,Público
0370-3908,,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2018,B,"Bogotá, D. C.","Bogotá, D.C.",Geología,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,ACADEMIA COLOMBIANA DE CIENCIAS EXACTAS FISICAS Y NATURALES ACCEFYN,Entidades sin ánimo de lucro,Privado
0120-1867,,,Estudios De Derecho,2016,B,Antioquia,Medellín,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
1909-9746,,,Visión Electrónica: Algo Más Que Un Estado Sólido,2015,C,"Bogotá, D. C.","Bogotá, D.C.",Ingeniería Eléctrica y Electrónica,"Ingenierías Eléctrica, Electrónica e Informática",Ingeniería y Tecnología,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,Universidades,Público
0123-5923,,2665-6744,Estudios Gerenciales,2022,C,Valle del Cauca,Cali,No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD ICESI,Universidades,Privado
0123-580X,,,Punto De Vista,2016,C,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,INSTITUCION UNIVERSITARIA POLITECNICO GRANCOLOMBIANO,Universidades,Privado
0121-2923,,,Palmas,2009,C,No disponible,No disponible,No registra,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,FEDERACION NACIONAL DE CULTIVADORES DE PALMA DE ACEITE FEDEPALMA,Entidades sin ánimo de lucro,Público
1909-0528,,1909-0528,Via Inveniendi Et Iudicandi Revista Virtual,2022,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
0122-9761,,2590-4671,Boletín De Investigaciones Marinas Y Costeras,2022,C,Magdalena,Santa Marta,Biología Marina y del Agua,Ciencias Biológicas,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
2215-7190,,,Revista Análisis Internacional (Rai),2016,C,No disponible,No disponible,No registra,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD JORGE TADEO LOZANO,Universidades,Privado
1794-9831,,,Ciencia Y Cuidado,2018,B,Norte de Santander,Cúcuta,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Universidades,Público
2248-6046,2011-7663,,Finanzas Y Política Económica,2020,B,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD CATOLICA DE COLOMBIA,Universidades,Privado
0124-7107,,2389-7066,Universidad Y Salud,2021,B,Nariño,Pasto,No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE NARINO,Universidades,Público
,,2145-5147,Desarrollo Gerencial,2021,B,Atlántico,Barranquilla,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD SIMON BOLIVAR,Universidades,Privado
1856-9536,,,"Anuario Electrónico De Estudios En Comunicación Social ""Disertarciones""",2022,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Periodismo y Comunicaciones,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
2145-6097,,2145-6453,Revista De Investigacion Agraria Ambiental,2021,B,"Bogotá, D. C.","Bogotá, D.C.",Agronomía,"Agricultura, Silvicultura y Pesca",Ciencias Agrícolas,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,Universidades,Público
1900-9771,,,Revista Gestión Y Región,2016,C,Risaralda,Pereira,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD CATOLICA DE PEREIRA,Universidades,Privado
