TXT_ISSN_P,TXT_ISSN_E,TXT_ISSN_L,NME_REVISTA_IN,NRO_ANO,ID_CLAS_REV,DEP_REV_IN,MUN_REV_IN,NME_ESPECIALIDAD,NME_AREA,NME_GRAN_AREA,NME_INST_EDIT_1,TIPO_INS_N2_E1,TIPO_INS_N3_E1
2011-7191,,,Movimiento Científico,2014,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Salud,Ciencias Médicas y de la Salud,CORPORACION UNIVERSITARIA IBEROAMERICANA,Universidades,Privado
2145-6569,,,Revista De Psicologia Gepu,2012,B,Valle del Cauca,Cali,"Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)",Psicología,Ciencias Sociales,FUNDACION GRUPO ESTUDIANTIL Y PROFESIONAL DE PSICOLOGIA UNIVALLE,Entidades sin ánimo de lucro,Privado
0122-6150,,,Revista Cientifica De Unincca,2013,C,No disponible,No disponible,No registra,Otras Ciencias Sociales,Ciencias Sociales,FUNDACION UNIVERSIDAD INCCA DE COLOMBIA,Universidades,Privado
1657-1959,2346-2116,,La Propiedad Inmaterial,2015,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ciencias Sociales,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
1909-7778,,,Revista De Derecho Publico,2012,C,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
1794-8932,,,Sophia,2012,B,Quindío,Armenia,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD LA GRAN COLOMBIA,Universidades,Privado
2145-0935,,,Revista Inge@Uan,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD ANTONIO NARINO,Universidades,Privado
0123-8418,,,Territorios,2013,B,No disponible,No disponible,No registra,Economía y Negocios,Ciencias Sociales,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,Universidades,Privado
2027-9035,,,Historia 2.0,2013,B,Santander,Bucaramanga,Historia,Historia y Arqueología,Humanidades,ASOCIACION HISTORIA ABIERTA,Entidades sin ánimo de lucro,Privado
0123-0670,,,Papeles,2012,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Idiomas y Literatura,Humanidades,UNIVERSIDAD ANTONIO NARINO,Universidades,Privado
2145-9258,,,Cultura Educacion Y Sociedad,2013,C,Atlántico,Barranquilla,No registra,Ciencias de la Educación,Ciencias Sociales,CORPORACION UNIVERSIDAD DE LA COSTA,Universidades,Privado
0121-4993,,,Revista De Ingeniería,2014,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ingenierías y Tecnologías,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE LOS ANDES,Universidades,Privado
2027-3355,,,Comunicaciones En Estadística,2014,B,"Bogotá, D. C.","Bogotá, D.C.",Estadísticas y Probabilidades (Investigación en Metodologías),Matemática,Ciencias Naturales,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
1657-6799,,,Revista Jurídica Piélagus,2012,C,Huila,Neiva,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD SURCOLOMBIANA,Universidades,Público
1909-9843,,,Iter Ad Veritatem,2011,C,Boyacá,Tunja,No registra,Otras Humanidades,Humanidades,UNIVERSIDAD SANTO TOMAS,Universidades,Privado
2215-910X,2017-5692,,Suma De Negocios,2014,C,"Bogotá, D. C.","Bogotá, D.C.",Negocios y Management,Economía y Negocios,Ciencias Sociales,FUNDACION UNIVERSITARIA KONRAD LORENZ,Universidades,Privado
,1900-1649,,Acta Biológica Colombiana,2015,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Biologías,Ciencias Biológicas,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0123-7047,,,Medunab,2013,C,Santander,Floridablanca,"Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)",Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,Universidades,Privado
0122-5197,,,Memoria Y Sociedad,2014,B,No disponible,No disponible,Historia,Historia y Arqueología,Humanidades,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
2011-5474,,,Revista Latinoamericana De Etnomatemática,2016,C,Nariño,Pasto,"Educación General (Incluye Capacitación, Pedagogía)",Ciencias de la Educación,Ciencias Sociales,UNIVERSIDAD DE NARINO,Universidades,Público
0122-9761,,,Boletín De Investigaciones Marinas Y Costeras,2013,A2,Magdalena,Santa Marta,"Oceanografía, Hidrología y Recursos del Agua",Ciencias de la Tierra y Medioambientales,Ciencias Naturales,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS INVEMAR,Centros o institutos de investigación,Público
0120-1751,,,Revista Colombiana De Estadística,2014,A1,"Bogotá, D. C.","Bogotá, D.C.",Estadísticas y Probabilidades (Investigación en Metodologías),Matemática,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
2145-7719,,,Revista Ces Derecho,2014,C,Antioquia,Medellín,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD CES,Universidades,Privado
2027-8101,,,Cuaderno Activa,2015,C,Antioquia,Medellín,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA,Universidades,Público
1657-4923,2389-7872,,Jangwa Pana,2017,C,Magdalena,Santa Marta,Antropología,Sociología,Ciencias Sociales,UNIVERSIDAD DEL MAGDALENA,Universidades,Público
0124-5996,,,Revista De Economía Institucional,2017,B,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,Universidades,Privado
0123-4412,,,Estudios De Literatura Colombiana,2016,B,Antioquia,Medellín,Estudios Literarios,Idiomas y Literatura,Humanidades,UNIVERSIDAD DE ANTIOQUIA,Universidades,Público
0120-4157,,,Biomédica,2018,A2,"Bogotá, D. C.","Bogotá, D.C.",Otras Ciencias Médicas,Otras Ciencias Médicas,Ciencias Médicas y de la Salud,INSTITUTO NACIONAL DE SALUD,Centros o institutos de investigación,Público
1794-4953,,,Revista Avancesinvestigacion En Ingenieria,2018,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
0123-5923,,,Estudios Gerenciales,2018,B,Valle del Cauca,Cali,Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD ICESI,Universidades,Privado
1794-7111,,,Kepes,2018,A2,Caldas,Manizales,No registra,Arte,Humanidades,UNIVERSIDAD DE CALDAS,Universidades,Público
0034-7426,,,Revista Colombiana De Matemáticas,2021,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Matemática,Ciencias Naturales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
2011-804X,,,"(Pensamiento), (Palabra) Y Obra",2016,B,"Bogotá, D. C.","Bogotá, D.C.",Artes plásticas y visuales,Arte,Humanidades,UNIVERSIDAD PEDAGOGICA NACIONAL,Universidades,Público
,2027-1557,,Luciernaga : Revista Virtual,2017,C,Antioquia,Medellín,Medios y Comunicación Social,Periodismo y Comunicaciones,Ciencias Sociales,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,Universidades,Público
1692-5777,,,"Gist, Education And Learning Research Journal",2017,B,"Bogotá, D. C.","Bogotá, D.C.",No registra,Ciencias de la Educación,Ciencias Sociales,INSTITUCION UNIVERSITARIA COLOMBO AMERICANA,Universidades,Privado
0121-4772,,,Revista Cuadernos De Economía,2017,B,"Bogotá, D. C.","Bogotá, D.C.",Economía,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD NACIONAL DE COLOMBIA,Universidades,Público
0041-9060,,,Vniversitas,2014,A2,"Bogotá, D. C.","Bogotá, D.C.",Derecho,Derecho,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,Universidades,Privado
0121-3474,,,Verba Iuris,2015,C,"Bogotá, D. C.","Bogotá, D.C.",No registra,Derecho,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,Universidades,Privado
